央视频道,#genre#
CCTV-1 综合 HD,http://10.10.10.5:1228/stv.php?id=cctv1
CCTV-2 财经,http://10.10.10.5:1228/stv.php?id=cctv2
CCTV-3 综艺,http://10.10.10.5:1228/stv.php?id=cctv3
CCTV-4 中文国际,http://10.10.10.5:1228/stv.php?id=cctv4
CCTV-4 新闻,http://10.10.10.5:1228/stv.php?id=Cctv4
CCTV-5 体育,http://10.10.10.5:1228/stv.php?id=cctv5
CCTV-5+ 体育赛事 HD,http://10.10.10.5:1228/stv.php?id=cctv5plus
CCTV-6 电影,http://10.10.10.5:1228/stv.php?id=cctv6
CCTV-7 军事农业,http://10.10.10.5:1228/stv.php?id=cctv7
CCTV-8 电视剧 HD,http://10.10.10.5:1228/stv.php?id=cctv8hd
CCTV-9 记录 HD,http://10.10.10.5:1228/stv.php?id=cctv9hd
CCTV-10 科教 HD,http://10.10.10.5:1228/stv.php?id=cctv10hd
CCTV-11 戏曲,http://10.10.10.5:1228/stv.php?id=cctv11
CCTV-12 社会与法,http://10.10.10.5:1228/stv.php?id=cctv12
CCTV-13 新闻,http://10.10.10.5:1228/stv.php?id=cctv13
CCTV-14 少儿,http://10.10.10.5:1228/stv.php?id=cctv14
CCTV-15 音乐,http://10.10.10.5:1228/stv.php?id=cctv15
CCTV-16 奥林匹克,http://10.10.10.5:1228/stv.php?id=cctv16
CCTV-17 农业农村,http://10.10.10.5:1228/stv.php?id=cctv17
CGTN 英语新闻,http://10.10.10.5:1228/stv.php?id=CGTN

国内卫视,#genre#
湖南卫视,http://10.10.10.5:1228/stv.php?id=hunan_twn
浙江卫视,http://10.10.10.5:1228/stv.php?id=zhejiang_twn
江苏卫视,http://10.10.10.5:1228/stv.php?id=jiangsu_twn
东方卫视,http://10.10.10.5:1228/stv.php?id=dongfangweishi_twn
北京卫视,http://10.10.10.5:1228/stv.php?id=beijing
深圳卫视,http://10.10.10.5:1228/stv.php?id=shenzhen
广东卫视,http://10.10.10.5:1228/stv.php?id=guangdongweishi_twn
大湾区卫视,http://10.10.10.5:1228/stv.php?id=nanfang_twn
珠江台,http://10.10.10.5:1228/stv.php?id=zhujiang
东南卫视,http://10.10.10.5:1228/stv.php?id=fujian
广西卫视,http://10.10.10.5:1228/stv.php?id=guangxi
湖北卫视,http://10.10.10.5:1228/stv.php?id=hubei
四川卫视,http://10.10.10.5:1228/stv.php?id=sichuan_twn

香港频道,#genre#
翡翠台,http://10.10.10.5:1228/stv.php?id=jade_twn
翡翠台,http://10.10.10.5:1228/stv.php?id=Jade_xue
iNews 新闻台,http://10.10.10.5:1228/stv.php?id=inews_twn
J 2,http://10.10.10.5:1228/stv.php?id=j2_twn
珍珠台,http://10.10.10.5:1228/stv.php?id=pearl_twn
凤凰香港,http://10.10.10.5:1228/stv.php?id=hkphoenix_twn
凤凰中文,http://10.10.10.5:1228/stv.php?id=phoenixtv_hd
中视经典,http://10.10.10.5:1228/stv.php?id=zhongshi_twn
爱尔达体育1台,http://10.10.10.5:1228/stv.php?id=eltasport_twn
HOY资讯台,http://10.10.10.5:1228/stv.php?id=hoycaijing_twn
RHK 31,http://10.10.10.5:1228/stv.php?id=rhk31_twn
viutv,http://10.10.10.5:1228/stv.php?id=viu1_twn
RHK 32,http://10.10.10.5:1228/stv.php?id=rhk32_twn
凤凰资讯,http://10.10.10.5:1228/stv.php?id=phoenixinfo_hd
viutv6,http://10.10.10.5:1228/stv.php?id=viusix_twn

台湾频道,#genre#
TVBS News 新闻台,http://10.10.10.5:1228/stv.php?id=tvbs_n
TVBS 欢乐台 备份,http://10.10.10.5:1228/stv.php?id=tvbshuanle_twn
TVBS HD,http://10.10.10.5:1228/stv.php?id=tvbs
中天新闻 HD,http://10.10.10.5:1228/stv.php?id=ctinews
中天娱乐 CTI Entertaiment,http://10.10.10.5:1228/stv.php?id=ctient
中天综合 CTI Metro,http://10.10.10.5:1228/stv.php?id=ctizhonghe
中天亚洲台,http://10.10.10.5:1228/stv.php?id=ctiasia_twn
台视 TTV HD,http://10.10.10.5:1228/stv.php?id=ttv_taiwan
台视新闻台,http://10.10.10.5:1228/stv.php?id=ttvnews_twn
台视综合台,http://10.10.10.5:1228/stv.php?id=ttvzhonghe
中视 HD,http://10.10.10.5:1228/stv.php?id=zhongshihd_twn
中视新闻台,http://10.10.10.5:1228/stv.php?id=zhongshinews_twn
民视 HD,http://10.10.10.5:1228/stv.php?id=ftvhd_taiwan
民视新闻台 FTV News,http://10.10.10.5:1228/stv.php?id=ftvnew_taiwan
民视台湾台,http://10.10.10.5:1228/stv.php?id=ftvtaiwan_twn
华视 CTS HD,http://10.10.10.5:1228/stv.php?id=ctshd_twn
公视 CTV,http://10.10.10.5:1228/stv.php?id=ctv18_twn
公视 HD,http://10.10.10.5:1228/stv.php?id=ctv_taiwan
公视2,http://10.10.10.5:1228/stv.php?id=ctv2_twn
八大第一 GTV First,http://10.10.10.5:1228/stv.php?id=badafirst
八大综合 GTV Metro,http://10.10.10.5:1228/stv.php?id=badazhonghe
八大戏剧 GTV Drama,http://10.10.10.5:1228/stv.php?id=badadrama
八大娱乐 GTV Entertainment,http://10.10.10.5:1228/stv.php?id=badaentertain
HBOHD,http://10.10.10.5:1228/stv.php?id=hbohd_twn
Hollywood Movies,http://10.10.10.5:1228/stv.php?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,http://10.10.10.5:1228/stv.php?id=sanlitaiwan
三立戏剧台,http://10.10.10.5:1228/stv.php?id=sanlixiju_twn
三立综合 Sanli Metro,http://10.10.10.5:1228/stv.php?id=sanlizhonghe
三立都会台,http://10.10.10.5:1228/stv.php?id=sanlidouhui
东森新闻 ETTV News,http://10.10.10.5:1228/stv.php?id=ettvnews
CINEMAX,http://10.10.10.5:1228/stv.php?id=cinemax_twn
东森综合 ETTV Metro,http://10.10.10.5:1228/stv.php?id=ettvzhonghe
东森戏剧 ETTV Drama,http://10.10.10.5:1228/stv.php?id=ettvdrama
东森超视,http://10.10.10.5:1228/stv.php?id=ettvsuper
东森财经新闻 ETTV Business,http://10.10.10.5:1228/stv.php?id=ettvcaijing_twn
寰宇财经,http://10.10.10.5:1228/stv.php?id=huanyutaiwan_twn
寰宇新闻台,http://10.10.10.5:1228/stv.php?id=huanyuxinwen_twn
大爱1台,http://10.10.10.5:1228/stv.php?id=daai_twn
非凡新闻台,http://10.10.10.5:1228/stv.php?id=feifannews_twn
龙华戏剧 Lunghua Drama,http://10.10.10.5:1228/stv.php?id=lunghuaxiju_twn
龙华经典台,http://10.10.10.5:1228/stv.php?id=lunghuajingdian_twn
龙华偶像,http://10.10.10.5:1228/stv.php?id=lunghuaidol_twn
AXN Taiwan,http://10.10.10.5:1228/stv.php?id=axn_twn
靖天国际台,http://10.10.10.5:1228/stv.php?id=jingtianintl_twn
年代新闻,http://10.10.10.5:1228/stv.php?id=niandainews_twn
纬来日本台,http://10.10.10.5:1228/stv.php?id=videolandjapan
纬来电影台,http://10.10.10.5:1228/stv.php?id=videolandmovie
纬来体育台,http://10.10.10.5:1228/stv.php?id=videolandsport
纬来综合台,http://10.10.10.5:1228/stv.php?id=videolandzonghe
纬来育乐,http://10.10.10.5:1228/stv.php?id=videolandyule
纬来精彩,http://10.10.10.5:1228/stv.php?id=videolandspecial_twn
好消息 2,http://10.10.10.5:1228/stv.php?id=good2_twn
大爱2台,http://10.10.10.5:1228/stv.php?id=daai2_twn
亚洲美食,http://10.10.10.5:1228/stv.php?id=afc_twn
美食星球,http://10.10.10.5:1228/stv.php?id=foodplanet_twn
亚洲旅游 TLC Asia,http://10.10.10.5:1228/stv.php?id=tlc_twn
东森电影 ETTV Movie,http://10.10.10.5:1228/stv.php?id=ettvmovie
阿里郎 Arirang,http://10.10.10.5:1228/stv.php?id=arirang_twn
博斯运动 1,http://10.10.10.5:1228/stv.php?id=bosisport1_twn
博斯运动 2,http://10.10.10.5:1228/stv.php?id=bosisport2_twn
博斯高球1,http://10.10.10.5:1228/stv.php?id=bosigolf1_twn
博斯高球2 HD,http://10.10.10.5:1228/stv.php?id=bosigolf2_twn
博斯网球 HD,http://10.10.10.5:1228/stv.php?id=bositennis_twn
东森洋片 ETTV Western,http://10.10.10.5:1228/stv.php?id=ettvwestern
龙华洋片 Lunghua Western,http://10.10.10.5:1228/stv.php?id=lunghuawestern_twn
博斯无限,http://10.10.10.5:1228/stv.php?id=bosiunlimited_twn
MTV Live,http://10.10.10.5:1228/stv.php?id=mtvhd_twn
龙详时代,http://10.10.10.5:1228/stv.php?id=lungxiangtime_twn
EYETV 旅游,http://10.10.10.5:1228/stv.php?id=eyetvtravel_twn
靖天卡通台,http://10.10.10.5:1228/stv.php?id=jingtiancartoon_twn
EYETV 戏剧,http://10.10.10.5:1228/stv.php?id=eyetvxiju_twn
卫视中文台 Star Movies Chinese,http://10.10.10.5:1228/stv.php?id=weishichinese_twn
东森幼幼 Yoyo TV,http://10.10.10.5:1228/stv.php?id=yoyo_twn
卫视电影台,http://10.10.10.5:1228/stv.php?id=weishimovie_twn
美亚电影,http://10.10.10.5:1228/stv.php?id=meiyamovie_twn
爱尔达影剧台,http://10.10.10.5:1228/stv.php?id=eltayingju_twn
爱尔达综合台,http://10.10.10.5:1228/stv.php?id=eltazonghe_twn
星卫电影,http://10.10.10.5:1228/stv.php?id=xingwei_movie
AFC 亚洲旅游台,http://10.10.10.5:1228/stv.php?id=asiatravel_twn


电影频道,#genre#
HBOHITS,http://10.10.10.5:1228/stv.php?id=hbohit_twn
Cinemax,http://10.10.10.5:1228/stv.php?id=Cinemax
Animax,http://10.10.10.5:1228/stv.php?id=Animax
Movies Now HD,http://10.10.10.5:1228/stv.php?id=moviesnow_raj
Star Movies HD,http://10.10.10.5:1228/stv.php?id=starmovies_raj
HBO Family,http://10.10.10.5:1228/stv.php?id=Hbofamily
Hits,http://10.10.10.5:1228/stv.php?id=Hits
Warner TV,http://10.10.10.5:1228/stv.php?id=WarnerTV
HBO HD,http://10.10.10.5:1228/stv.php?id=Hbo
HBO Signature,http://10.10.10.5:1228/stv.php?id=Hbosignature
HBO Hits,http://10.10.10.5:1228/stv.php?id=Hbohitshd
SCM,http://10.10.10.5:1228/stv.php?id=Weishimovie
Dreamworks,http://10.10.10.5:1228/stv.php?id=Dreamworks
Thrill,http://10.10.10.5:1228/stv.php?id=Thrill
Hits Movie,http://10.10.10.5:1228/stv.php?id=Hitsmovie
